qpid	goid	ontology	desc	ARGOT_RSscore	ARGOT_RSPPV	ARGOT_RSrank	goclasscount
BJP76_RS00050	0003676	MF	nucleic acid binding	2.194589048	0.519801392	1	99
BJP76_RS00055	0003677	MF	DNA binding	3.165766474	0.563048565	1	100
BJP76_RS00060	0016705	MF	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	6.815559254	0.683768211	1	100
BJP76_RS00060	0004497	MF	monooxygenase activity	6.670402944	0.679709829	2	100
BJP76_RS00060	0005506	MF	iron ion binding	6.37610754	0.671343874	3	100
BJP76_RS00060	0020037	MF	heme binding	5.430875696	0.643077555	4	100
BJP76_RS00065	0008360	BP	regulation of cell shape	6.775476899	0.682651916	1	99
BJP76_RS00065	0005886	CC	plasma membrane	2.673714572	0.542123738	1	99
BJP76_RS00065	0042546	BP	cell wall biogenesis	6.672889608	0.679779723	4	99
BJP76_RS00065	0051301	BP	cell division	6.143574892	0.664596145	7	99
BJP76_RS00065	0007049	BP	cell cycle	6.060121885	0.662143411	8	99
BJP76_RS00070	0003755	MF	peptidyl-prolyl cis-trans isomerase activity	8.233517522	0.721338427	1	99
BJP76_RS00070	0006457	BP	protein folding	6.590567557	0.677458903	1	99
BJP76_RS00075	0016020	CC	membrane	0.738723839	0.429498014	1	97
BJP76_RS00080	0051301	BP	cell division	6.143511306	0.664594283	1	99
BJP76_RS00080	0005886	CC	plasma membrane	2.673686898	0.542122509	1	99
BJP76_RS00080	0005515	MF	protein binding	0.051411773	0.337622887	1	1
BJP76_RS00080	0007049	BP	cell cycle	6.060059163	0.662141561	2	99
BJP76_RS00080	0008360	BP	regulation of cell shape	0.135897772	0.358226985	4	2
BJP76_RS00090	0006541	BP	glutamine metabolic process	7.132935994	0.692493727	1	100
BJP76_RS00090	0046820	MF	4-amino-4-deoxychorismate synthase activity	0.535684471	0.410972561	1	4
BJP76_RS00090	0004049	MF	anthranilate synthase activity	0.480118926	0.405309972	2	4
BJP76_RS00095	0004674	MF	protein serine/threonine kinase activity	6.43361909	0.672993699	1	90
BJP76_RS00095	0016310	BP	phosphorylation	4.104473387	0.598867939	1	99
BJP76_RS00095	0005886	CC	plasma membrane	2.51436964	0.534940213	1	94
BJP76_RS00095	0009889	BP	regulation of biosynthetic process	3.105359104	0.560571863	3	94
BJP76_RS00095	0005524	MF	ATP binding	2.871914603	0.550766435	7	96
BJP76_RS00095	0106310	MF	protein serine kinase activity	1.527801787	0.484173414	21	14
BJP76_RS00100	0004674	MF	protein serine/threonine kinase activity	6.99073221	0.688608696	1	98
BJP76_RS00100	0016310	BP	phosphorylation	4.149415861	0.60047407	1	100
BJP76_RS00100	0016020	CC	membrane	0.7387455	0.429499843	1	100
BJP76_RS00100	0005524	MF	ATP binding	2.988576917	0.555714515	7	100
BJP76_RS00100	0106310	MF	protein serine kinase activity	0.670523574	0.423597752	24	6
BJP76_RS00105	0008658	MF	penicillin binding	9.220345916	0.745600127	1	99
BJP76_RS00105	0051301	BP	cell division	0.181050939	0.366482718	1	3
BJP76_RS00105	0008955	MF	peptidoglycan glycosyltransferase activity	0.104958559	0.351740892	13	1
BJP76_RS00110	0008360	BP	regulation of cell shape	6.775673068	0.682657387	1	99
BJP76_RS00110	0016020	CC	membrane	0.738746318	0.429499913	1	99
BJP76_RS00110	0051301	BP	cell division	6.143752765	0.664601355	5	99
BJP76_RS00110	0009252	BP	peptidoglycan biosynthetic process	0.927823476	0.444561858	9	14
BJP76_RS00115	0016020	CC	membrane	0.738746358	0.429499916	1	98
BJP76_RS00115	0017018	MF	myosin phosphatase activity	0.227686072	0.373984302	1	2
BJP76_RS00120	0016020	CC	membrane	0.738730733	0.429498596	1	98
BJP76_RS00135	0008168	MF	methyltransferase activity	3.502812394	0.576453443	1	7
BJP76_RS00135	0032259	BP	methylation	3.407231829	0.572720158	1	7
BJP76_RS00135	0016853	MF	isomerase activity	1.618962662	0.489450249	3	3
BJP76_RS00145	0008922	MF	long-chain fatty acid [acyl-carrier-protein] ligase activity	5.385839045	0.641671601	1	28
BJP76_RS00145	0006629	BP	lipid metabolic process	0.429115776	0.399816061	1	10
BJP76_RS00145	1901576	BP	organic substance biosynthetic process	0.119866006	0.354970665	5	9
BJP76_RS00145	0004467	MF	long-chain fatty acid-CoA ligase activity	0.13112424	0.35727849	8	1
BJP76_RS00145	0032787	BP	monocarboxylic acid metabolic process	0.101006358	0.350846734	8	2
BJP76_RS00145	0070566	MF	adenylyltransferase activity	0.077683739	0.345169858	10	1
BJP76_RS00145	0005524	MF	ATP binding	0.026738246	0.328442862	13	1
BJP76_RS00145	0051701	BP	biological process involved in interaction with host	0.054707665	0.3386618	16	1
BJP76_RS00145	0044283	BP	small molecule biosynthetic process	0.034512476	0.331674579	23	1
BJP76_RS00145	0044249	BP	cellular biosynthetic process	0.013710795	0.321701919	25	1
BJP76_RS00150	0061810	MF	NAD glycohydrolase activity	14.35496737	0.846963577	1	45
BJP76_RS00160	0004803	MF	transposase activity	8.472594253	0.72734411	1	98
BJP76_RS00160	0006313	BP	DNA transposition	7.799891764	0.710218717	1	98
BJP76_RS00160	0003677	MF	DNA binding	3.165821149	0.563050796	4	98
BJP76_RS00170	0004519	MF	endonuclease activity	5.852955051	0.655980636	1	96
BJP76_RS00170	0008270	MF	zinc ion binding	4.991909531	0.629114285	3	94
BJP76_RS00170	0003676	MF	nucleic acid binding	2.149947868	0.517602412	9	94
BJP76_RS00175	0016740	MF	transferase activity	2.28860951	0.524360752	1	86
BJP76_RS00180	0008127	MF	"quercetin 2,3-dioxygenase activity"	12.12626646	0.810326899	1	3
BJP76_RS00185	0003995	MF	acyl-CoA dehydrogenase activity	9.258939623	0.746521904	1	98
BJP76_RS00185	0016020	CC	membrane	0.686618088	0.425016236	1	92
BJP76_RS00185	0050660	MF	flavin adenine dinucleotide binding	6.11042837	0.663623955	4	99
BJP76_RS00190	0035731	MF	dinitrosyl-iron complex binding	12.33764226	0.814714711	1	100
BJP76_RS00190	0006355	BP	regulation of DNA-templated transcription	3.48589374	0.575796361	1	100
BJP76_RS00190	0005737	CC	cytoplasm	2.015208477	0.510823072	1	100
BJP76_RS00190	0051539	MF	"4 iron, 4 sulfur cluster binding"	6.233651603	0.667224932	2	100
BJP76_RS00190	0003677	MF	DNA binding	3.165754042	0.563048058	5	100
BJP76_RS00190	0046872	MF	metal ion binding	2.50603737	0.534558405	6	100
BJP76_RS00195	0003677	MF	DNA binding	3.165797286	0.563049823	1	99
BJP76_RS00200	0016787	MF	hydrolase activity	1.846924097	0.502029102	1	4
BJP76_RS00200	0005886	CC	plasma membrane	0.484365618	0.405753944	1	1
BJP76_RS00205	0003824	MF	catalytic activity	0.658426503	0.422520339	1	1
BJP76_RS00215	0009306	BP	protein secretion	7.631326383	0.705812901	1	100
BJP76_RS00235	0046872	MF	metal ion binding	2.50607294	0.534560036	1	100
BJP76_RS00235	0016853	MF	isomerase activity	0.049370256	0.336962596	5	1
BJP76_RS00240	0022857	MF	transmembrane transporter activity	3.098443359	0.560286786	1	93
BJP76_RS00240	0055085	BP	transmembrane transport	2.594047619	0.538559808	1	93
BJP76_RS00240	0016020	CC	membrane	0.722591615	0.428127825	1	97
BJP76_RS00240	0016746	MF	acyltransferase activity	0.055593774	0.338935738	3	1
BJP76_RS00250	0016020	CC	membrane	0.738718967	0.429497602	1	98
BJP76_RS00250	0005524	MF	ATP binding	0.172127571	0.364940953	1	6
BJP76_RS00260	0004823	MF	leucine-tRNA ligase activity	10.97226034	0.785666323	1	99
BJP76_RS00260	0006429	BP	leucyl-tRNA aminoacylation	10.59005686	0.777215177	1	99
BJP76_RS00260	0005737	CC	cytoplasm	1.994911656	0.509782428	1	99
BJP76_RS00260	0002161	MF	aminoacyl-tRNA editing activity	8.761879045	0.734498844	2	99
BJP76_RS00260	0106074	BP	aminoacyl-tRNA metabolism involved in translational fidelity	8.375107855	0.724905585	2	99
BJP76_RS00260	0005524	MF	ATP binding	2.958410952	0.554444462	11	99
BJP76_RS00265	0016491	MF	oxidoreductase activity	2.916180167	0.552655526	1	99
BJP76_RS00265	0016020	CC	membrane	0.006948063	0.316803152	1	1
BJP76_RS00270	0003700	MF	DNA-binding transcription factor activity	4.753596837	0.621275855	1	98
BJP76_RS00270	0006355	BP	regulation of DNA-templated transcription	3.485901843	0.575796676	1	98
BJP76_RS00270	0005886	CC	plasma membrane	0.025747911	0.327999018	1	1
BJP76_RS00275	0015424	MF	ABC-type amino acid transporter activity	9.958993545	0.762920317	1	98
BJP76_RS00275	0003333	BP	amino acid transmembrane transport	8.625727219	0.731146423	1	98
BJP76_RS00275	0016887	MF	ATP hydrolysis activity	4.447618419	0.610917761	11	98
BJP76_RS00275	0005524	MF	ATP binding	2.988548743	0.555713332	20	100
BJP76_RS00280	0043190	CC	ATP-binding cassette (ABC) transporter complex	6.487738173	0.674539483	1	99
BJP76_RS00280	0071705	BP	nitrogen compound transport	4.4952113	0.612551782	1	99
BJP76_RS00280	0022857	MF	transmembrane transporter activity	3.297297079	0.568360855	1	99
BJP76_RS00280	0055085	BP	transmembrane transport	2.760529933	0.545947514	2	99
BJP76_RS00285	0003700	MF	DNA-binding transcription factor activity	4.753646389	0.621277505	1	99
BJP76_RS00285	0006351	BP	DNA-templated transcription	4.590402181	0.615794251	1	99
BJP76_RS00285	0006355	BP	regulation of DNA-templated transcription	3.48593818	0.575798089	3	99
BJP76_RS00285	0003677	MF	DNA binding	3.165794401	0.563049705	3	99
BJP76_RS00290	0016705	MF	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	6.815517793	0.683767058	1	97
BJP76_RS00290	0004497	MF	monooxygenase activity	0.067171503	0.34233216	4	1
BJP76_RS00295	0016787	MF	hydrolase activity	2.072089464	0.51371183	1	92
BJP76_RS00305	0016853	MF	isomerase activity	4.826090901	0.623680669	1	77
BJP76_RS00305	0004519	MF	endonuclease activity	0.554900394	0.412861857	3	8
BJP76_RS00310	0016740	MF	transferase activity	2.288697317	0.524364966	1	79
BJP76_RS00315	0016705	MF	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	6.815556913	0.683768146	1	99
BJP76_RS00315	0004497	MF	monooxygenase activity	0.338581902	0.389188672	4	5
BJP76_RS00320	0004512	MF	inositol-3-phosphate synthase activity	12.93317283	0.826878705	1	100
BJP76_RS00320	0006021	BP	inositol biosynthetic process	12.15045799	0.810831003	1	100
BJP76_RS00320	0008654	BP	phospholipid biosynthetic process	6.57161861	0.676922646	8	100
BJP76_RS00330	0016020	CC	membrane	0.738739875	0.429499368	1	97
BJP76_RS00340	0008658	MF	penicillin binding	9.220380685	0.745600958	1	98
BJP76_RS00340	0006508	BP	proteolysis	4.354206568	0.607685002	1	98
BJP76_RS00340	0016020	CC	membrane	0.71583308	0.427549247	1	95
BJP76_RS00340	0050896	BP	response to stimulus	2.963404251	0.554655137	2	96
BJP76_RS00340	0008955	MF	peptidoglycan glycosyltransferase activity	8.712700892	0.733290972	3	86
BJP76_RS00340	0004180	MF	carboxypeptidase activity	7.92629244	0.713491317	7	98
BJP76_RS00345	0016758	MF	hexosyltransferase activity	7.218993687	0.694826047	1	99
BJP76_RS00345	0005886	CC	plasma membrane	2.673796179	0.542127361	1	99
BJP76_RS00350	0050549	MF	cyclohexyl-isocyanide hydratase activity	9.451040772	0.751081754	1	1
BJP76_RS00350	0006508	BP	proteolysis	2.022955066	0.511218867	1	1
BJP76_RS00350	0008233	MF	peptidase activity	2.143974023	0.517306421	5	1
BJP76_RS00355	0019843	MF	rRNA binding	6.142536336	0.664565724	1	100
BJP76_RS00355	1990904	CC	ribonucleoprotein complex	4.461698249	0.611402075	1	100
BJP76_RS00355	0006412	BP	translation	3.364989582	0.571053543	1	100
BJP76_RS00355	0003735	MF	structural constituent of ribosome	3.83360713	0.588995783	2	100
BJP76_RS00355	0005840	CC	ribosome	3.187644254	0.563939718	2	100
BJP76_RS00360	0003697	MF	single-stranded DNA binding	8.791739263	0.735230592	1	100
BJP76_RS00360	0006260	BP	DNA replication	5.993351833	0.660168812	1	100
BJP76_RS00365	0019843	MF	rRNA binding	5.959008007	0.659148874	1	97
BJP76_RS00365	1990904	CC	ribonucleoprotein complex	4.328390446	0.606785466	1	97
BJP76_RS00365	0006412	BP	translation	3.264449531	0.567044278	1	97
BJP76_RS00365	0003735	MF	structural constituent of ribosome	3.7190656	0.584716444	2	97
BJP76_RS00365	0005840	CC	ribosome	3.187623856	0.563938888	2	100
BJP76_RS00365	0005829	CC	cytosol	0.066754516	0.342215172	12	1
BJP76_RS00370	0019843	MF	rRNA binding	6.083097597	0.662820357	1	99
BJP76_RS00370	1990904	CC	ribonucleoprotein complex	4.418524273	0.609914554	1	99
BJP76_RS00370	0006412	BP	translation	3.332427994	0.569761715	1	99
BJP76_RS00370	0003735	MF	structural constituent of ribosome	3.796510927	0.587616934	2	99
BJP76_RS00370	0005840	CC	ribosome	3.187698052	0.563941905	2	100
BJP76_RS00375	0016539	BP	intein-mediated protein splicing	10.90396233	0.784167073	1	24
BJP76_RS00375	1990077	CC	primosome complex	9.050981886	0.741532019	1	25
BJP76_RS00375	0003678	MF	DNA helicase activity	7.869479668	0.712023648	1	26
BJP76_RS00375	0006269	BP	"DNA replication, synthesis of RNA primer"	8.983679141	0.739904856	3	25
BJP76_RS00375	0004519	MF	endonuclease activity	5.852889068	0.655978656	4	26
BJP76_RS00375	0032508	BP	DNA duplex unwinding	7.358404375	0.698575023	5	26
BJP76_RS00375	0016887	MF	ATP hydrolysis activity	3.70134705	0.584048614	10	21
BJP76_RS00375	0005737	CC	cytoplasm	0.141172013	0.359255799	12	2
BJP76_RS00375	0003677	MF	DNA binding	3.074661567	0.559304031	15	25
BJP76_RS00375	0005524	MF	ATP binding	2.988536497	0.555712817	16	26
BJP76_RS00385	0008757	MF	S-adenosylmethionine-dependent methyltransferase activity	5.396006304	0.641989515	1	98
BJP76_RS00385	0032259	BP	methylation	3.790652163	0.587398552	1	76
BJP76_RS00385	0016020	CC	membrane	0.131844232	0.357422644	1	20
BJP76_RS00385	0071944	CC	cell periphery	0.023328054	0.326877157	3	1
BJP76_RS00390	0006355	BP	regulation of DNA-templated transcription	3.485890751	0.575796245	1	97
BJP76_RS00390	0003677	MF	DNA binding	3.165751327	0.563047947	1	97
BJP76_RS00395	0016020	CC	membrane	0.738672219	0.429493653	1	33
BJP76_RS00400	0016020	CC	membrane	0.738750458	0.429500262	1	99
BJP76_RS00405	0016020	CC	membrane	0.738716202	0.429497369	1	41
BJP76_RS00410	0016020	CC	membrane	0.732969212	0.429010978	1	1
BJP76_RS00415	0016491	MF	oxidoreductase activity	2.916186191	0.552655783	1	100
BJP76_RS00420	0016020	CC	membrane	0.738717009	0.429497437	1	73
BJP76_RS00425	0071949	MF	FAD binding	7.815470814	0.710623495	1	98
BJP76_RS00425	0005576	CC	extracellular region	0.054866213	0.338710977	1	1
BJP76_RS00425	0016491	MF	oxidoreductase activity	2.916216199	0.552657058	3	98
BJP76_RS00430	0006355	BP	regulation of DNA-templated transcription	3.485924104	0.575797542	1	100
BJP76_RS00430	0003677	MF	DNA binding	3.165781617	0.563049183	1	100
BJP76_RS00430	0016301	MF	kinase activity	0.067420198	0.34240176	6	2
BJP76_RS00430	0016310	BP	phosphorylation	0.065020245	0.341724646	17	2
BJP76_RS00435	0051213	MF	dioxygenase activity	7.438934761	0.700724443	1	17
BJP76_RS00435	0004252	MF	serine-type endopeptidase activity	0.157978457	0.362411924	4	1
BJP76_RS00450	0016020	CC	membrane	0.738739479	0.429499335	1	100
BJP76_RS00450	0008299	BP	isoprenoid biosynthetic process	0.060767059	0.340493216	1	1
BJP76_RS00450	0003824	MF	catalytic activity	0.005323215	0.315293845	1	1
BJP76_RS00470	0015074	BP	DNA integration	6.841596543	0.684491592	1	100
BJP76_RS00470	0003676	MF	nucleic acid binding	2.194593101	0.51980159	1	100
BJP76_RS00470	0016020	CC	membrane	0.005674802	0.315638102	1	1
BJP76_RS00470	0005524	MF	ATP binding	0.036641671	0.332494205	5	1
BJP76_RS00475	0005524	MF	ATP binding	2.988539182	0.55571293	1	100
BJP76_RS00475	0051301	BP	cell division	0.563861152	0.41373168	1	11
BJP76_RS00475	0016887	MF	ATP hydrolysis activity	2.969831721	0.55492606	3	64
BJP76_RS00480	0016020	CC	membrane	0.738723714	0.429498003	1	80
BJP76_RS00490	0043190	CC	ATP-binding cassette (ABC) transporter complex	6.487678037	0.674537769	1	100
BJP76_RS00495	0043190	CC	ATP-binding cassette (ABC) transporter complex	6.487680709	0.674537845	1	100
BJP76_RS00500	0016020	CC	membrane	0.738745744	0.429499864	1	96
BJP76_RS00505	0016020	CC	membrane	0.738738861	0.429499283	1	73
BJP76_RS00510	0016020	CC	membrane	0.738741768	0.429499528	1	97
BJP76_RS00515	0016020	CC	membrane	0.738701458	0.429496123	1	26
BJP76_RS00530	0016020	CC	membrane	0.738728455	0.429498404	1	96
BJP76_RS00540	0003677	MF	DNA binding	3.1658161	0.56305059	1	97
BJP76_RS00545	0016020	CC	membrane	0.73870236	0.429496199	1	98
BJP76_RS00550	0016020	CC	membrane	0.738667477	0.429493253	1	52
BJP76_RS00555	0008757	MF	S-adenosylmethionine-dependent methyltransferase activity	5.389907779	0.64179886	1	99
BJP76_RS00555	0032259	BP	methylation	3.94337639	0.593037237	1	81
BJP76_RS00560	0016491	MF	oxidoreductase activity	2.916140678	0.552653848	1	100
BJP76_RS00565	0055085	BP	transmembrane transport	2.760525724	0.54594733	1	100
BJP76_RS00565	0016020	CC	membrane	0.738746232	0.429499905	1	100
BJP76_RS00570	0016705	MF	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	6.815525784	0.68376728	1	98
BJP76_RS00570	0016020	CC	membrane	0.043771961	0.335078381	1	6
BJP76_RS00570	0004497	MF	monooxygenase activity	0.207771625	0.370885025	4	3
BJP76_RS00575	0051287	MF	NAD binding	6.631660067	0.678619182	1	99
BJP76_RS00575	0016616	MF	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	6.202169431	0.666308333	2	99
BJP76_RS00580	0005524	MF	ATP binding	2.257743028	0.522874441	1	12
BJP76_RS00580	0016310	BP	phosphorylation	1.013773585	0.450896542	1	4
BJP76_RS00580	0016301	MF	kinase activity	1.051192832	0.453570214	14	4
BJP76_RS00585	0004144	MF	diacylglycerol O-acyltransferase activity	12.27028302	0.813320554	1	100
BJP76_RS00585	0019432	BP	triglyceride biosynthetic process	12.15457945	0.810916836	1	99
BJP76_RS00585	0006071	BP	glycerol metabolic process	9.457089154	0.751224567	7	100
BJP76_RS00590	0030643	BP	intracellular phosphate ion homeostasis	11.26193741	0.791973924	1	100
BJP76_RS00590	0005737	CC	cytoplasm	1.999000864	0.509992511	1	99
BJP76_RS00590	0045936	BP	negative regulation of phosphate metabolic process	10.71786355	0.780057914	3	100
BJP76_RS00590	0006817	BP	phosphate ion transport	8.371620253	0.724818084	9	100
BJP76_RS00595	0022857	MF	transmembrane transporter activity	3.297288712	0.56836052	1	99
BJP76_RS00595	0055085	BP	transmembrane transport	2.760522928	0.545947208	1	99
BJP76_RS00595	0016020	CC	membrane	0.738745484	0.429499842	1	99
BJP76_RS00605	0008757	MF	S-adenosylmethionine-dependent methyltransferase activity	5.445504589	0.643532984	1	100
BJP76_RS00605	0008610	BP	lipid biosynthetic process	5.295488728	0.638833208	1	100
BJP76_RS00605	0032259	BP	methylation	4.232552063	0.603422387	3	86
BJP76_RS00610	0051213	MF	dioxygenase activity	7.142954661	0.692765972	1	16
BJP76_RS00610	0016829	MF	lyase activity	0.560931639	0.413448077	4	2
BJP76_RS00630	0016853	MF	isomerase activity	5.256554864	0.637602623	1	3
BJP76_RS00640	0022857	MF	transmembrane transporter activity	3.297274219	0.568359941	1	99
BJP76_RS00640	0055085	BP	transmembrane transport	2.760510795	0.545946678	1	99
BJP76_RS00640	0016020	CC	membrane	0.738742237	0.429499568	1	99
BJP76_RS00650	0016887	MF	ATP hydrolysis activity	4.536165083	0.61395095	1	100
BJP76_RS00650	0005524	MF	ATP binding	2.98854223	0.555713058	7	100
BJP76_RS00655	0042597	CC	periplasmic space	6.380152471	0.671460153	1	100
BJP76_RS00655	0042626	MF	ATPase-coupled transmembrane transporter activity	6.121184125	0.663939711	1	100
BJP76_RS00655	0055085	BP	transmembrane transport	2.760504095	0.545946385	1	100
BJP76_RS00655	0016020	CC	membrane	0.738740444	0.429499416	2	100
BJP76_RS00660	0055085	BP	transmembrane transport	2.760485777	0.545945585	1	100
BJP76_RS00660	0005886	CC	plasma membrane	2.673752982	0.542125443	1	100
BJP76_RS00665	0050660	MF	flavin adenine dinucleotide binding	6.061870529	0.662194977	1	97
BJP76_RS00665	0016491	MF	oxidoreductase activity	2.916193739	0.552656103	2	98
BJP76_RS00675	0003995	MF	acyl-CoA dehydrogenase activity	9.355362635	0.748816521	1	100
BJP76_RS00675	0050660	MF	flavin adenine dinucleotide binding	6.110418574	0.663623668	4	100
BJP76_RS00680	0003677	MF	DNA binding	3.165783369	0.563049255	1	99
BJP76_RS00685	0000155	MF	phosphorelay sensor kinase activity	6.623915498	0.678400783	1	100
BJP76_RS00685	0000160	BP	phosphorelay signal transduction system	5.073140781	0.631743162	1	100
BJP76_RS00685	0005886	CC	plasma membrane	2.673789845	0.54212708	1	100
BJP76_RS00685	0016310	BP	phosphorylation	4.149417135	0.600474116	3	100
BJP76_RS00690	0004300	MF	enoyl-CoA hydratase activity	5.777026453	0.65369467	1	38
BJP76_RS00690	0016853	MF	isomerase activity	1.995409631	0.509808023	5	36
BJP76_RS00690	0008935	MF	"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"	0.104974741	0.351744518	7	1
BJP76_RS00695	0006355	BP	regulation of DNA-templated transcription	3.325746788	0.56949587	1	94
BJP76_RS00695	0003677	MF	DNA binding	3.165728857	0.56304703	1	100
BJP76_RS00700	0051213	MF	dioxygenase activity	7.612725447	0.705323758	1	74
BJP76_RS00700	0016829	MF	lyase activity	0.113886027	0.35370065	4	2
BJP76_RS00715	0005576	CC	extracellular region	5.792232125	0.654153662	1	10
BJP76_RS00720	0005576	CC	extracellular region	5.79243576	0.654159804	1	11
BJP76_RS00725	0005737	CC	cytoplasm	2.01523794	0.510824579	1	98
BJP76_RS00730	0016020	CC	membrane	0.705728358	0.426679093	1	20
BJP76_RS00730	0051782	BP	negative regulation of cell division	0.617638939	0.418812692	1	1
BJP76_RS00730	0004386	MF	helicase activity	0.597122492	0.416901414	1	2
BJP76_RS00730	0016887	MF	ATP hydrolysis activity	0.204405623	0.370346721	4	1
BJP76_RS00730	0005829	CC	cytosol	0.30648627	0.385084465	5	1
BJP76_RS00730	0071944	CC	cell periphery	0.114676621	0.353870436	7	1
BJP76_RS00730	0005524	MF	ATP binding	0.134667682	0.357984183	9	1
BJP76_RS00735	0005886	CC	plasma membrane	2.619524739	0.539705414	1	95
BJP76_RS00735	0042783	BP	evasion of host immune response	0.145916522	0.360164979	1	1
BJP76_RS00740	0004252	MF	serine-type endopeptidase activity	6.818945603	0.68386237	1	98
BJP76_RS00740	0006508	BP	proteolysis	4.354192871	0.607684525	1	100
BJP76_RS00740	0005886	CC	plasma membrane	2.313363549	0.525545503	1	86
BJP76_RS00740	0051604	BP	protein maturation	0.062424191	0.340977979	10	1
BJP76_RS00745	0016020	CC	membrane	0.738746398	0.429499919	1	93
BJP76_RS00745	0071944	CC	cell periphery	0.049735426	0.337081692	3	2
BJP76_RS00750	0016887	MF	ATP hydrolysis activity	4.536234929	0.613953331	1	99
BJP76_RS00750	0005737	CC	cytoplasm	2.015260768	0.510825747	1	99
BJP76_RS00750	0005524	MF	ATP binding	2.988588247	0.555714991	7	99
BJP76_RS00755	0016491	MF	oxidoreductase activity	2.916145745	0.552654063	1	99
BJP76_RS00765	0016987	MF	sigma factor activity	7.806828427	0.710398997	1	99
BJP76_RS00765	2000142	BP	regulation of DNA-templated transcription initiation	7.398156422	0.699637499	1	99
BJP76_RS00765	0006352	BP	DNA-templated transcription initiation	6.972814435	0.688116387	2	99
BJP76_RS00765	0003677	MF	DNA binding	3.165802575	0.563050038	4	99
BJP76_RS00765	0050896	BP	response to stimulus	3.022974381	0.557154926	22	99
BJP76_RS00780	0006537	BP	glutamate biosynthetic process	10.33095491	0.771398978	1	99
BJP76_RS00780	0016639	MF	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	10.00580101	0.763995877	1	99
BJP76_RS00780	0051536	MF	iron-sulfur cluster binding	5.297811846	0.638906492	3	99
BJP76_RS00780	0015930	MF	glutamate synthase activity	2.507354635	0.534618808	8	22
BJP76_RS00785	0016705	MF	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	6.815535596	0.683767553	1	100
BJP76_RS00785	0004497	MF	monooxygenase activity	0.462228588	0.403417698	4	7
BJP76_RS00790	0016020	CC	membrane	0.738725269	0.429498135	1	98
